playlist_name,artist,song,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
me,Corduroy Dreams,Rex Orange County,0.653,https://api.spotify.com/v1/audio-analysis/02tvc9CFnTyHuSRlGeNv9w,0.61,206975.0,0.305,02tvc9CFnTyHuSRlGeNv9w,0.0,4.0,0.103,-14.037,1.0,0.053,113.818,4.0,https://api.spotify.com/v1/tracks/02tvc9CFnTyHuSRlGeNv9w,audio_features,spotify:track:02tvc9CFnTyHuSRlGeNv9w,0.222
me,Scales,Solange,0.593,https://api.spotify.com/v1/audio-analysis/6gO8khQWeJcV7U0Kzo6Ynk,0.459,219307.0,0.366,6gO8khQWeJcV7U0Kzo6Ynk,0.0137,1.0,0.11,-10.62,0.0,0.0578,97.104,3.0,https://api.spotify.com/v1/tracks/6gO8khQWeJcV7U0Kzo6Ynk,audio_features,spotify:track:6gO8khQWeJcV7U0Kzo6Ynk,0.255
me,Madison Acid,Elvis Depressedly,0.722,https://api.spotify.com/v1/audio-analysis/6aYoMFeJveewCyZS2cWGEM,0.596,120216.0,0.534,6aYoMFeJveewCyZS2cWGEM,0.0224,4.0,0.122,-7.503,1.0,0.0289,120.013,4.0,https://api.spotify.com/v1/tracks/6aYoMFeJveewCyZS2cWGEM,audio_features,spotify:track:6aYoMFeJveewCyZS2cWGEM,0.293
me,To You,BadBadNotGood,0.941,https://api.spotify.com/v1/audio-analysis/4CMrgbzlHBRss2frjG3rTz,0.794,145788.0,0.297,4CMrgbzlHBRss2frjG3rTz,0.896,9.0,0.18,-16.232,0.0,0.0484,120.972,4.0,https://api.spotify.com/v1/tracks/4CMrgbzlHBRss2frjG3rTz,audio_features,spotify:track:4CMrgbzlHBRss2frjG3rTz,0.344
me,Ivy,SALES,0.665,https://api.spotify.com/v1/audio-analysis/3qcxmCQRw3OGNwB5vMcih5,0.746,196174.0,0.538,3qcxmCQRw3OGNwB5vMcih5,0.222,5.0,0.11,-9.025,1.0,0.0282,114.997,4.0,https://api.spotify.com/v1/tracks/3qcxmCQRw3OGNwB5vMcih5,audio_features,spotify:track:3qcxmCQRw3OGNwB5vMcih5,0.37
me,Remembering Spring 2013,Florist,0.928,https://api.spotify.com/v1/audio-analysis/2yAsl9rlJSwGlcrNoGblwB,0.4,115674.0,0.171,2yAsl9rlJSwGlcrNoGblwB,0.871,7.0,0.111,-18.442,1.0,0.0438,114.714,4.0,https://api.spotify.com/v1/tracks/2yAsl9rlJSwGlcrNoGblwB,audio_features,spotify:track:2yAsl9rlJSwGlcrNoGblwB,0.19
me,Poison Root,(Sandy) Alex G,0.338,https://api.spotify.com/v1/audio-analysis/6ayjKIrJVuCLLbLtupBjzC,0.506,144610.0,0.502,6ayjKIrJVuCLLbLtupBjzC,0.89,2.0,0.397,-9.59,1.0,0.0312,86.966,1.0,https://api.spotify.com/v1/tracks/6ayjKIrJVuCLLbLtupBjzC,audio_features,spotify:track:6ayjKIrJVuCLLbLtupBjzC,0.336
me,G.O.A.T.,Princess Nokia,0.172,https://api.spotify.com/v1/audio-analysis/7iKxMLDKwAnEfWY8lsF69C,0.629,163034.0,0.616,7iKxMLDKwAnEfWY8lsF69C,0.0,2.0,0.0984,-9.122,1.0,0.443,113.486,4.0,https://api.spotify.com/v1/tracks/7iKxMLDKwAnEfWY8lsF69C,audio_features,spotify:track:7iKxMLDKwAnEfWY8lsF69C,0.463
me,Best One,NxWorries,0.169,https://api.spotify.com/v1/audio-analysis/3FQCunuHk5y4T1FLnlH3Fb,0.515,194787.0,0.866,3FQCunuHk5y4T1FLnlH3Fb,5.47e-06,6.0,0.351,-5.792,1.0,0.264,83.328,4.0,https://api.spotify.com/v1/tracks/3FQCunuHk5y4T1FLnlH3Fb,audio_features,spotify:track:3FQCunuHk5y4T1FLnlH3Fb,0.533
me,Lava Lamp,Thundercat,0.746,https://api.spotify.com/v1/audio-analysis/1FgDXkEcfp49bSrNSM8jzS,0.485,178570.0,0.546,1FgDXkEcfp49bSrNSM8jzS,0.474,7.0,0.11,-11.147,1.0,0.0491,75.652,4.0,https://api.spotify.com/v1/tracks/1FgDXkEcfp49bSrNSM8jzS,audio_features,spotify:track:1FgDXkEcfp49bSrNSM8jzS,0.23
