range,song_name,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
short_term,Largo [Harpsichord Concerto No. 5 in F minor BWV 1056],The Swingle Singers,0.975,https://api.spotify.com/v1/audio-analysis/7pBRrOvcE2ZMiR5k891vhx,0.497,183440.0,0.0173,7pBRrOvcE2ZMiR5k891vhx,0.000359,1.0,0.0846,-19.526,1.0,0.0394,112.632,4.0,https://api.spotify.com/v1/tracks/7pBRrOvcE2ZMiR5k891vhx,audio_features,spotify:track:7pBRrOvcE2ZMiR5k891vhx,0.259
short_term,Good Graces,Emily Yacina,0.868,https://api.spotify.com/v1/audio-analysis/0TcAUHfV9Nt2y5sUowxkCA,0.454,132261.0,0.0714,0TcAUHfV9Nt2y5sUowxkCA,4.26e-05,4.0,0.138,-19.849,1.0,0.0295,94.07,4.0,https://api.spotify.com/v1/tracks/0TcAUHfV9Nt2y5sUowxkCA,audio_features,spotify:track:0TcAUHfV9Nt2y5sUowxkCA,0.234
short_term,Foldin Clothes,J. Cole,0.218,https://api.spotify.com/v1/audio-analysis/77IAeEz8LEchPN8UNjaTJ2,0.713,316920.0,0.496,77IAeEz8LEchPN8UNjaTJ2,0.000237,7.0,0.0761,-10.045,0.0,0.311,162.039,4.0,https://api.spotify.com/v1/tracks/77IAeEz8LEchPN8UNjaTJ2,audio_features,spotify:track:77IAeEz8LEchPN8UNjaTJ2,0.6
short_term,Everybody's Got To Learn Sometime,The Korgis,0.0154,https://api.spotify.com/v1/audio-analysis/2PxyiPwogw6C9yu1jRgFiA,0.425,251947.0,0.298,2PxyiPwogw6C9yu1jRgFiA,0.00133,1.0,0.0725,-12.037,0.0,0.0258,75.038,4.0,https://api.spotify.com/v1/tracks/2PxyiPwogw6C9yu1jRgFiA,audio_features,spotify:track:2PxyiPwogw6C9yu1jRgFiA,0.0929
short_term,"Harpsichord Suite No. 11 in D minor, HWV 437 (Theme from the folm ""Barry Lyndon)) - Sarabande",George Frideric Handel,0.983,https://api.spotify.com/v1/audio-analysis/6Nw7jagICoXFt1ZtdAbi8o,0.356,243067.0,0.0336,6Nw7jagICoXFt1ZtdAbi8o,0.864,2.0,0.107,-19.747,0.0,0.0435,139.584,3.0,https://api.spotify.com/v1/tracks/6Nw7jagICoXFt1ZtdAbi8o,audio_features,spotify:track:6Nw7jagICoXFt1ZtdAbi8o,0.21
short_term,When You Die,MGMT,0.0946,https://api.spotify.com/v1/audio-analysis/3td69vL9Py7Ai9wfXYnvji,0.645,263880.0,0.938,3td69vL9Py7Ai9wfXYnvji,0.0226,11.0,0.159,-4.557,0.0,0.0391,140.886,4.0,https://api.spotify.com/v1/tracks/3td69vL9Py7Ai9wfXYnvji,audio_features,spotify:track:3td69vL9Py7Ai9wfXYnvji,0.495
short_term,Waste,Rhye,0.817,https://api.spotify.com/v1/audio-analysis/4bSr1hSKGJzglijKfIrcvo,0.657,211693.0,0.324,4bSr1hSKGJzglijKfIrcvo,0.038,5.0,0.101,-11.934,0.0,0.037,84.011,4.0,https://api.spotify.com/v1/tracks/4bSr1hSKGJzglijKfIrcvo,audio_features,spotify:track:4bSr1hSKGJzglijKfIrcvo,0.225
short_term,Holding on Too Tight,Anna McClellan,0.339,https://api.spotify.com/v1/audio-analysis/6JV8A7rFIYyZp7Sf0yXHcG,0.26,228347.0,0.461,6JV8A7rFIYyZp7Sf0yXHcG,3.72e-05,9.0,0.133,-5.65,1.0,0.0296,183.087,3.0,https://api.spotify.com/v1/tracks/6JV8A7rFIYyZp7Sf0yXHcG,audio_features,spotify:track:6JV8A7rFIYyZp7Sf0yXHcG,0.469
short_term,But at the Same Time,Anna McClellan,0.956,https://api.spotify.com/v1/audio-analysis/6jC4IXBJlGcS4VSqs5zGlU,0.316,205173.0,0.243,6jC4IXBJlGcS4VSqs5zGlU,2.26e-05,9.0,0.111,-8.433,1.0,0.0332,108.194,4.0,https://api.spotify.com/v1/tracks/6jC4IXBJlGcS4VSqs5zGlU,audio_features,spotify:track:6jC4IXBJlGcS4VSqs5zGlU,0.124
short_term,She Refused to Say,Loving,0.11,https://api.spotify.com/v1/audio-analysis/3ePnpJnNUUmcMOsyMZZH2w,0.506,193007.0,0.679,3ePnpJnNUUmcMOsyMZZH2w,0.358,8.0,0.0563,-9.602,1.0,0.0446,158.808,4.0,https://api.spotify.com/v1/tracks/3ePnpJnNUUmcMOsyMZZH2w,audio_features,spotify:track:3ePnpJnNUUmcMOsyMZZH2w,0.533
